Starting model=transformer epochs=10 batch=2 on host pax064
resume=<auto> run_dir=<auto>
CUDA_VISIBLE_DEVICES=0
Fri Apr 24 15:28:53 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L40S                    On  |   00000000:3F:00.0 Off |                    0 |
| N/A   32C    P8             34W /  350W |       0MiB /  46068MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
torch.cuda.is_available = True
torch.cuda.device_count = 1
torch.cuda.current_device = 0
torch.cuda.get_device_name(0) = NVIDIA L40S
--- Starting Training on cuda ---
Populating dataset normalization statistics...
Stats loaded. Example Zone 0 (ME) - Mean: 1314.04, Std: 215.34
No existing checkpoint found in /cluster/home/supadh03/cs137/assignment3/evaluation/subhanga-additions/checkpoints/v2/transformer/runs/job-483062. Starting fresh.
  Epoch 1/10 [   10/11751] │ batch_loss=91963.4844 │ grad_norm=241873.6094
  Epoch 1/10 [   20/11751] │ batch_loss=142008.8125 │ grad_norm=519532.2812
  Epoch 1/10 [   30/11751] │ batch_loss=81286.1406 │ grad_norm=366229.0000
  Epoch 1/10 [   40/11751] │ batch_loss=80120.8281 │ grad_norm=293125.0312
  Epoch 1/10 [   50/11751] │ batch_loss=84682.2188 │ grad_norm=261560.1562
  Epoch 1/10 [   60/11751] │ batch_loss=110680.3594 │ grad_norm=440894.2500
  Epoch 1/10 [   70/11751] │ batch_loss=248002.1250 │ grad_norm=722105.0000
  Epoch 1/10 [   80/11751] │ batch_loss=127258.9688 │ grad_norm=525138.8125
  Epoch 1/10 [   90/11751] │ batch_loss=128833.5625 │ grad_norm=350111.8750
  Epoch 1/10 [  100/11751] │ batch_loss=118582.6250 │ grad_norm=456129.3750
  Epoch 1/10 [  110/11751] │ batch_loss=151469.0469 │ grad_norm=230868.5156
  Epoch 1/10 [  120/11751] │ batch_loss=82071.1016 │ grad_norm=223000.9375
  Epoch 1/10 [  130/11751] │ batch_loss=107159.1094 │ grad_norm=491603.9688
  Epoch 1/10 [  140/11751] │ batch_loss=68712.0312 │ grad_norm=205694.0469
  Epoch 1/10 [  150/11751] │ batch_loss=180196.2500 │ grad_norm=501631.1875
  Epoch 1/10 [  160/11751] │ batch_loss=182192.2188 │ grad_norm=844065.8750
  Epoch 1/10 [  170/11751] │ batch_loss=139285.1875 │ grad_norm=758570.3125
  Epoch 1/10 [  180/11751] │ batch_loss=83515.1016 │ grad_norm=383675.8438
  Epoch 1/10 [  190/11751] │ batch_loss=98781.6562 │ grad_norm=693382.6250
  Epoch 1/10 [  200/11751] │ batch_loss=123052.6094 │ grad_norm=440066.8750
  Epoch 1/10 [  210/11751] │ batch_loss=86142.5859 │ grad_norm=431282.2812
  Epoch 1/10 [  220/11751] │ batch_loss=49758.8516 │ grad_norm=269533.1250
  Epoch 1/10 [  230/11751] │ batch_loss=40757.9570 │ grad_norm=359885.2812
  Epoch 1/10 [  240/11751] │ batch_loss=73244.5859 │ grad_norm=542362.0000
  Epoch 1/10 [  250/11751] │ batch_loss=54348.3867 │ grad_norm=473189.5312
  Epoch 1/10 [  260/11751] │ batch_loss=242720.8594 │ grad_norm=966886.3750
  Epoch 1/10 [  270/11751] │ batch_loss=67037.3906 │ grad_norm=322149.1250
  Epoch 1/10 [  280/11751] │ batch_loss=45932.6094 │ grad_norm=324003.5000
  Epoch 1/10 [  290/11751] │ batch_loss=298848.0000 │ grad_norm=1350820.7500
  Epoch 1/10 [  300/11751] │ batch_loss=104094.8594 │ grad_norm=644192.1250
  Epoch 1/10 [  310/11751] │ batch_loss=52158.6680 │ grad_norm=387145.6562
  Epoch 1/10 [ 1250/11751] │ batch_loss=75187.2578 │ grad_norm=697586.6250
  Epoch 1/10 [ 1260/11751] │ batch_loss=38455.0781 │ grad_norm=322747.6562
  Epoch 1/10 [ 1270/11751] │ batch_loss=25825.2500 │ grad_norm=296656.3750
  Epoch 1/10 [ 1280/11751] │ batch_loss=20172.3867 │ grad_norm=114440.5078
  Epoch 1/10 [ 1290/11751] │ batch_loss=21704.4160 │ grad_norm=149276.6250
  Epoch 1/10 [ 1300/11751] │ batch_loss=179985.4844 │ grad_norm=1409997.7500
  Epoch 1/10 [ 1310/11751] │ batch_loss=26879.2402 │ grad_norm=230409.0469
  Epoch 1/10 [ 1320/11751] │ batch_loss=42195.6328 │ grad_norm=494836.3125
  Epoch 1/10 [ 1330/11751] │ batch_loss=20431.1641 │ grad_norm=276679.9375
  Epoch 1/10 [ 1340/11751] │ batch_loss=20213.8477 │ grad_norm=164000.6562
  Epoch 1/10 [ 1350/11751] │ batch_loss=64429.5078 │ grad_norm=632893.6250
  Epoch 1/10 [ 1360/11751] │ batch_loss=16947.4668 │ grad_norm=235860.2344
  Epoch 1/10 [ 1370/11751] │ batch_loss=58975.9180 │ grad_norm=470503.0000
  Epoch 1/10 [ 1380/11751] │ batch_loss=25307.7188 │ grad_norm=200084.8750
  Epoch 1/10 [ 1390/11751] │ batch_loss=40273.7344 │ grad_norm=579983.8125
  Epoch 1/10 [ 1400/11751] │ batch_loss=35141.6719 │ grad_norm=280701.3438
  Epoch 1/10 [ 1410/11751] │ batch_loss=21790.8633 │ grad_norm=232634.2031
  Epoch 1/10 [ 1420/11751] │ batch_loss=11583.3047 │ grad_norm=156636.0156
  Epoch 1/10 [ 1430/11751] │ batch_loss=96706.7969 │ grad_norm=959449.1875
  Epoch 1/10 [ 1440/11751] │ batch_loss=42603.8750 │ grad_norm=300709.0312
  Epoch 1/10 [ 1450/11751] │ batch_loss=20919.9590 │ grad_norm=261918.9375
  Epoch 1/10 [ 1460/11751] │ batch_loss=19112.7773 │ grad_norm=171342.8281
  Epoch 1/10 [ 1470/11751] │ batch_loss=16327.9062 │ grad_norm=181199.6875
  Epoch 1/10 [ 1480/11751] │ batch_loss=81901.7422 │ grad_norm=677796.5000
  Epoch 1/10 [ 1490/11751] │ batch_loss=80485.1094 │ grad_norm=480043.7188
  Epoch 1/10 [ 1500/11751] │ batch_loss=23265.0156 │ grad_norm=377705.6562
  Epoch 1/10 [ 1510/11751] │ batch_loss=40181.6484 │ grad_norm=269798.5625
  Epoch 1/10 [ 1520/11751] │ batch_loss=20234.2617 │ grad_norm=202960.1094
  Epoch 1/10 [ 1530/11751] │ batch_loss=21113.7090 │ grad_norm=339572.8438
  Epoch 1/10 [ 1540/11751] │ batch_loss=40405.3906 │ grad_norm=560241.6875
  Epoch 1/10 [ 1550/11751] │ batch_loss=14260.8359 │ grad_norm=222086.8438
  Epoch 1/10 [ 1560/11751] │ batch_loss=35710.0391 │ grad_norm=534421.5625
  Epoch 1/10 [ 1570/11751] │ batch_loss=63395.5117 │ grad_norm=576683.3750
  Epoch 1/10 [ 1580/11751] │ batch_loss=37449.9023 │ grad_norm=369514.2188
  Epoch 1/10 [ 1590/11751] │ batch_loss=28164.7090 │ grad_norm=338316.4688
  Epoch 1/10 [ 1600/11751] │ batch_loss=12420.6250 │ grad_norm=117900.3438
  Epoch 1/10 [ 1610/11751] │ batch_loss=43993.3672 │ grad_norm=419091.5000
  Epoch 1/10 [ 1620/11751] │ batch_loss=149714.1094 │ grad_norm=801002.7500
  Epoch 1/10 [ 1630/11751] │ batch_loss=53502.2266 │ grad_norm=510673.0000
  Epoch 1/10 [ 1640/11751] │ batch_loss=15371.4355 │ grad_norm=223958.1094
  Epoch 1/10 [ 1650/11751] │ batch_loss=24945.4648 │ grad_norm=469184.8438
  Epoch 1/10 [ 1660/11751] │ batch_loss=24097.4512 │ grad_norm=190445.7656
  Epoch 1/10 [ 1670/11751] │ batch_loss=16790.3496 │ grad_norm=324096.1875
  Epoch 1/10 [ 1680/11751] │ batch_loss=115780.7969 │ grad_norm=1103066.2500
  Epoch 1/10 [ 1690/11751] │ batch_loss=266507.6875 │ grad_norm=1677829.1250
  Epoch 1/10 [ 1700/11751] │ batch_loss=24732.2656 │ grad_norm=266400.4688
  Epoch 1/10 [ 1710/11751] │ batch_loss=67652.0234 │ grad_norm=800617.6250
  Epoch 1/10 [ 1720/11751] │ batch_loss=13234.3359 │ grad_norm=161417.5781
  Epoch 1/10 [ 1730/11751] │ batch_loss=17761.8633 │ grad_norm=192763.7969
  Epoch 1/10 [ 1740/11751] │ batch_loss=58648.7812 │ grad_norm=899875.3125
  Epoch 1/10 [ 1750/11751] │ batch_loss=15797.0967 │ grad_norm=171585.7656
  Epoch 1/10 [ 1760/11751] │ batch_loss=129868.8594 │ grad_norm=1088605.5000
  Epoch 1/10 [ 1770/11751] │ batch_loss=11350.4434 │ grad_norm=118873.0078
  Epoch 1/10 [ 1780/11751] │ batch_loss=28797.1328 │ grad_norm=267961.6875
  Epoch 1/10 [ 1790/11751] │ batch_loss=26334.3867 │ grad_norm=224670.0469
  Epoch 1/10 [ 1800/11751] │ batch_loss=106625.1094 │ grad_norm=1195945.3750
  Epoch 1/10 [ 1810/11751] │ batch_loss=18631.9453 │ grad_norm=331937.6875
  Epoch 1/10 [ 1820/11751] │ batch_loss=42997.0859 │ grad_norm=397746.9375
  Epoch 1/10 [ 1830/11751] │ batch_loss=13891.0488 │ grad_norm=209907.6094
  Epoch 1/10 [ 1840/11751] │ batch_loss=16320.7412 │ grad_norm=234743.6562
  Epoch 1/10 [ 1850/11751] │ batch_loss=15671.8262 │ grad_norm=137591.4375
  Epoch 1/10 [ 1860/11751] │ batch_loss=33706.9141 │ grad_norm=548842.2500
  Epoch 1/10 [ 1870/11751] │ batch_loss=81526.7500 │ grad_norm=1356224.8750
  Epoch 1/10 [ 1880/11751] │ batch_loss=220869.2188 │ grad_norm=2053485.1250
  Epoch 1/10 [ 1890/11751] │ batch_loss=14061.2012 │ grad_norm=147133.7344
  Epoch 1/10 [ 1900/11751] │ batch_loss=17959.9062 │ grad_norm=237947.2031
  Epoch 1/10 [ 1910/11751] │ batch_loss=78176.1406 │ grad_norm=1138289.8750
  Epoch 1/10 [ 1920/11751] │ batch_loss=24301.3398 │ grad_norm=372027.1875
  Epoch 1/10 [ 1930/11751] │ batch_loss=14818.2715 │ grad_norm=283053.7188
  Epoch 1/10 [ 1940/11751] │ batch_loss=15481.5186 │ grad_norm=209116.4375
  Epoch 1/10 [ 1950/11751] │ batch_loss=35626.8711 │ grad_norm=302059.3750
